Region/Country/Area,,Year,Series,Value
52,Barbados,2021,Emissions per capita (Kilograms of carbon dioxide),3.8
112,Belarus,2005,Emissions (thousand metric tons of carbon dioxide),"56,469"
112,Belarus,2010,Emissions (thousand metric tons of carbon dioxide),"58,707"
112,Belarus,2015,Emissions (thousand metric tons of carbon dioxide),"53,395"
112,Belarus,2019,Emissions (thousand metric tons of carbon dioxide),"56,173"
112,Belarus,2020,Emissions (thousand metric tons of carbon dioxide),"53,192"
112,Belarus,2021,Emissions (thousand metric tons of carbon dioxide),"55,020"
112,Belarus,2005,Emissions per capita (Kilograms of carbon dioxide),5.7
112,Belarus,2010,Emissions per capita (Kilograms of carbon dioxide),6
112,Belarus,2015,Emissions per capita (Kilograms of carbon dioxide),5.5
112,Belarus,2019,Emissions per capita (Kilograms of carbon dioxide),5.8
112,Belarus,2020,Emissions per capita (Kilograms of carbon dioxide),5.5
112,Belarus,2021,Emissions per capita (Kilograms of carbon dioxide),5.7
56,Belgium,1975,Emissions (thousand metric tons of carbon dioxide),"119,722"
56,Belgium,1985,Emissions (thousand metric tons of carbon dioxide),"102,890"
56,Belgium,2005,Emissions (thousand metric tons of carbon dioxide),"104,017"
56,Belgium,2010,Emissions (thousand metric tons of carbon dioxide),"103,576"
56,Belgium,2015,Emissions (thousand metric tons of carbon dioxide),"89,564"
