,Country,Region,Year,Status,PR rating,CL rating,PR,CL,Total,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands),"Seats held by women in national parliament, as of February (%)",Labour force participation - Female,Labour force participation - Male,Labour force participation - Total,Unemployment rate - Female,Unemployment rate - Male,Unemployment rate - Total,"Assault rate per 100,000 population","Intentional homicide rates per 100,000","Kidnapping at the national level, rate per 100,000","Percentage of male and female intentional homicide victims, Female","Percentage of male and female intentional homicide victims, Male","Theft at the national level, rate per 100,000 population","Total Sexual Violence at the national level, rate per 100,000","Safely managed drinking water sources, rural (Proportion of population with access)","Safely managed drinking water sources, total (Proportion of population with access)","Safely managed drinking water sources, urban (Proportion of population with access)","Safely managed sanitation facilities, rural (Proportion of population with access)","Safely managed sanitation facilities, total (Proportion of population with access)","Safely managed sanitation facilities, urban (Proportion of population with access)",GDP in constant 2015 prices (millions of US dollars),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP real rates of growth (percent),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),Percentage of individuals using the internet
116,North Macedonia,Europe,2024,PF,3,3,28,39,67,,,,,,,,,,42.5,43.2,63.6,53.3,12.3,12.3,12.3,,,,,,,,,,,,,,,,,,16.8,24.7,73.2,1.82,0.94,0.89,94.7,,
1049,Norway,Europe,2015,F,1,1,40,60,100,103.7,102.4,99.3,99.4,123.0,130.7,195.0,431.0,249.0,39.6,61.4,68.4,64.9,4.0,4.6,4.3,43.1,0.5,,0.5,0.4,2212.3,84.0,,99.2,,,77.5,,388160.0,388160.0,74785.0,1.9,18.0,21.8,17.1,5.19,2.58,2.61,101.3,,96.8
796,Norway,Europe,2020,F,1,1,40,60,100,,,,,,,,,,41.4,,,,,,,,,,,,,,,,,,,,405006.0,367633.0,68335.0,-1.3,,,,,,,,,94.6
625,Norway,Europe,2021,F,1,1,40,60,100,106.2,102.8,99.0,98.9,129.6,140.9,201.0,444.0,256.0,44.4,,,,,,,,,,,,,,,,,,,,420794.0,490293.0,90744.0,3.9,,,,,,,,,99.0
453,Norway,Europe,2022,F,1,1,40,60,100,,,,,,,,,,45.0,,,,,,,35.6,0.6,,0.5,0.6,1827.5,95.3,,98.8,,,78.1,,434585.0,579422.0,106623.0,3.3,16.8,24.1,17.9,5.46,2.71,2.75,101.7,324.0,99.0
284,Norway,Europe,2023,F,1,1,40,60,100,,,,,,,,,,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Norway,Europe,2024,F,1,1,39,59,98,,,,,,,,,,44.4,61.9,68.0,65.0,3.1,3.6,3.4,,,,,,,,,,,,,,,,,,16.2,24.6,18.3,5.58,2.77,2.81,101.6,,
1050,Oman,Middle East,2015,NF,6,5,9,17,26,105.6,106.0,106.2,102.0,98.1,98.9,149.0,351.0,138.0,1.2,29.8,87.4,69.4,12.6,2.0,3.4,1.0,0.4,0.1,0.3,0.4,,3.3,,88.6,,,,,78711.0,78711.0,18777.0,5.0,22.2,4.0,13.5,4.18,1.47,2.71,183.9,,73.5
797,Oman,Middle East,2020,NF,6,5,6,17,23,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,80247.0,75909.0,16708.0,-3.4,,,,,,,,,95.2
626,Oman,Middle East,2021,NF,6,5,6,17,23,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,82728.0,88192.0,19509.0,3.1,,,,,,,,,95.8
454,Oman,Middle East,2022,NF,6,5,6,18,24,89.8,90.8,91.0,89.2,96.7,100.3,382.0,331.0,108.0,2.3,,,,,,,0.8,0.3,0.1,0.3,0.3,47.3,2.8,,90.9,,,,,86295.0,114667.0,25057.0,4.3,26.2,4.3,15.3,4.73,1.82,2.91,160.1,310.0,97.8
285,Oman,Middle East,2023,NF,6,5,6,18,24,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Oman,Middle East,2024,NF,6,5,6,18,24,,,,,,,,,,0.0,32.6,89.0,68.7,5.3,0.7,1.5,,,,,,,,,,,,,,,,,,24.7,4.3,17.1,5.28,2.0,3.29,164.6,,
1051,Pakistan,Asia,2015,PF,4,5,20,22,42,38.7,47.8,68.2,81.1,24.5,32.6,6582.0,19847.0,5496.0,20.7,24.0,78.9,52.0,6.2,2.8,3.6,13.7,4.5,8.6,,,31.3,1.7,38.3,43.5,52.7,28.3,,,297019.0,297019.0,1408.0,6.0,38.8,5.9,281.9,217.29,106.1,111.19,104.8,,11.0
798,Pakistan,Asia,2020,PF,5,5,16,22,38,,,,,,,,,,20.2,,,,,,,,,,,,,,,,,,,,355787.0,293752.0,1293.0,-1.3,,,,,,,,,18.9
627,Pakistan,Asia,2021,PF,5,5,15,22,37,47.0,54.7,77.4,91.0,31.1,37.8,8357.0,24277.0,7064.0,20.2,,,,,,,,,,,,,,,,,,,,378868.0,342501.0,1480.0,6.5,,,,,,,,,25.0
455,Pakistan,Asia,2022,PF,5,5,15,22,37,,,,,,,,,,20.5,,,,,,,11.6,4.2,11.8,,,112.8,2.2,46.9,50.6,56.8,40.2,,,402312.0,326797.0,1386.0,6.2,37.3,6.5,316.1,243.7,119.63,124.07,103.7,796.0,32.9
286,Pakistan,Asia,2023,PF,5,5,15,22,37,,,,,,,,,,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Pakistan,Asia,2024,PF,5,5,14,21,35,,,,,,,,,,20.5,24.4,80.9,52.7,7.8,5.2,5.8,,,,,,,,,,,,,,,,,,36.7,6.7,326.0,251.27,123.84,127.43,102.9,,
1126,Palau,Asia,2014,F,1,1,37,55,92,107.3,105.0,102.6,114.4,114.6,104.5,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,Palau,Asia,2015,F,1,1,37,55,92,,,,,,,,,,0.0,,,,,,,,16.9,,,,,,56.5,81.8,88.9,,,,280.0,280.0,15760.0,8.8,20.3,12.4,38.6,0.02,0.01,0.01,114.9,,
889,Palau,Asia,2018,F,1,1,37,55,92,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,
799,Palau,Asia,2020,F,1,1,37,55,92,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,249.0,252.0,14014.0,-9.1,,,,,,,,,
628,Palau,Asia,2021,F,1,1,37,55,92,114.2,96.4,104.0,105.5,93.5,93.2,1.0,2.0,1.0,6.3,,,,,,,,,,,,,,,,,,,,216.0,218.0,12084.0,-13.3,,,,,,,,,
456,Palau,Asia,2022,F,1,1,37,55,92,,,,,,,,,,6.3,,,,,,,,,,,,,,57.5,90.4,97.7,,,,210.0,226.0,12498.0,-2.6,18.8,16.5,38.6,0.02,0.01,0.01,117.1,0.0,
287,Palau,Asia,2023,F,1,1,37,55,92,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Palau,Asia,2024,F,1,1,37,55,92,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,18.2,17.8,38.5,0.02,0.01,0.01,116.7,,
1053,Panama,Americas,2015,F,2,2,35,47,82,94.2,92.7,94.9,97.1,64.2,56.3,195.0,418.0,122.0,19.3,50.0,77.5,63.7,5.4,3.7,4.4,71.8,11.9,0.4,2.5,21.3,477.0,79.7,,,,,,28.6,55517.0,55517.0,14030.0,6.1,27.9,10.5,53.4,3.96,1.98,1.98,100.3,,51.2
800,Panama,Americas,2020,F,1,2,36,48,84,,,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,54777.0,57087.0,13293.0,-17.7,,,,,,,,,72.6
629,Panama,Americas,2021,F,2,2,35,48,83,95.0,94.8,100.2,101.3,74.2,67.1,209.0,466.0,152.0,22.5,,,,,,,,,,,,,,,,,,,,63452.0,67407.0,15491.0,15.8,,,,,,,,,73.1
457,Panama,Americas,2022,F,2,2,35,48,83,91.4,90.0,101.0,101.9,,,202.0,473.0,,22.5,,,,,,,112.8,11.3,0.2,1.9,20.8,329.8,168.9,,,,,,50.0,70310.0,76523.0,17358.0,10.8,25.7,12.7,59.3,4.4,2.2,2.2,100.1,75.0,73.6
288,Panama,Americas,2023,F,2,2,35,48,83,,,,,,,,,,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Panama,Americas,2024,F,2,2,35,48,83,,,,,,,,,,22.5,50.8,76.1,63.3,9.2,6.3,7.5,,,,,,,,,,,,,,,,,,24.9,13.5,60.9,4.52,2.26,2.26,100.0,,
1054,Papua New Guinea,Asia,2015,PF,4,3,23,36,59,,,,,,,,,,2.7,46.9,48.4,47.7,1.4,3.6,2.5,,,,,,,,,,,,,29.1,21723.0,21723.0,2502.0,6.6,36.2,4.7,19.3,8.74,4.21,4.53,107.6,,7.9
890,Papua New Guinea,Asia,2018,PF,3,3,25,38,63,52.0,61.1,106.9,111.9,15.0,21.4,449.0,1394.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,Papua New Guinea,Asia,2020,PF,4,3,23,39,62,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,23937.0,23848.0,2446.0,-3.2,,,,,,,,,24.4
630,Papua New Guinea,Asia,2021,PF,4,3,23,39,62,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,23750.0,26113.0,2625.0,-0.8,,,,,,,,,25.7
458,Papua New Guinea,Asia,2022,PF,4,3,23,39,62,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,28.3,24977.0,31610.0,3117.0,5.2,34.1,5.6,22.5,10.2,4.95,5.26,106.3,463.0,27.0
289,Papua New Guinea,Asia,2023,PF,4,3,22,39,61,,,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Papua New Guinea,Asia,2024,PF,4,3,22,39,61,,,,,,,,,,2.7,45.9,47.7,46.8,1.5,3.8,2.7,,,,,,,,,,,,,,,,,,33.5,5.9,23.4,10.58,5.14,5.44,105.9,,
1144,Paraguay,Americas,2013,PF,3,3,27,35,62,86.5,83.3,105.0,107.9,,,322.0,791.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Paraguay,Americas,2015,PF,3,3,27,38,65,,,96.8,99.6,69.9,63.9,,727.0,253.0,15.0,54.8,81.1,67.9,4.9,4.3,4.6,11.1,10.0,0.0,1.9,18.0,615.5,80.4,46.8,61.8,71.4,50.8,51.7,52.3,36211.0,36211.0,5861.0,3.0,30.2,8.2,15.2,6.16,3.06,3.1,101.3,,49.7
802,Paraguay,Americas,2020,PF,3,3,28,37,65,,,,,,,,,,16.3,,,,,,,,,,,,,,,,,,,,40344.0,35432.0,5353.0,-0.8,,,,,,,,,74.0
631,Paraguay,Americas,2021,PF,3,3,28,37,65,,,,,,,,,,15.0,,,,,,,8.6,7.8,0.2,1.9,13.7,369.6,79.3,,,,,,,41964.0,39951.0,5959.0,4.0,,,,,,,,,77.0
459,Paraguay,Americas,2022,PF,3,3,28,37,65,82.2,80.3,92.7,93.7,88.3,77.5,299.0,715.0,298.0,17.5,,,,,,,8.4,7.0,0.2,,,453.8,95.8,50.7,64.2,72.2,59.0,55.2,53.0,41996.0,41722.0,6153.0,0.1,28.9,9.4,16.7,6.76,3.37,3.39,100.7,407.0,76.3
290,Paraguay,Americas,2023,PF,3,3,28,37,65,,,,,,,,,,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Paraguay,Americas,2024,PF,3,3,26,37,63,,,,,,,,,,23.8,59.8,81.7,70.7,7.4,4.7,5.8,,,,,,,,,,,,,,,,,,28.6,9.9,17.1,6.93,3.46,3.47,100.6,,
1056,Peru,Americas,2015,F,2,3,30,41,71,101.0,106.3,98.9,100.4,91.6,95.1,1686.0,3513.0,996.0,22.3,67.7,84.4,75.9,3.3,3.2,3.3,80.7,7.3,0.7,2.6,11.9,307.6,29.9,20.1,50.0,58.7,,40.7,44.0,189803.0,189803.0,6180.0,3.3,27.5,11.6,23.8,30.46,15.26,15.19,99.5,,40.9
803,Peru,Americas,2020,F,2,3,30,42,72,,,,,,,,,,30.0,,,,,,,7.4,5.7,2.6,2.1,9.2,249.9,64.9,,,,,,,191646.0,201948.0,6064.0,-10.9,,,,,,,,,65.3
632,Peru,Americas,2021,PF,3,3,29,42,71,,,,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,217360.0,223718.0,6635.0,13.4,,,,,,,,,71.1
460,Peru,Americas,2022,F,2,3,30,42,72,102.2,101.7,107.9,107.4,94.4,95.3,1859.0,3819.0,1138.0,40.0,,,,,,,9.0,,3.6,,,399.8,69.0,23.0,52.0,59.8,,57.7,61.6,223194.0,242632.0,7126.0,2.7,24.8,12.5,26.2,33.48,16.82,16.65,99.0,1285.0,74.7
291,Peru,Americas,2023,PF,3,3,29,41,70,,,,,,,,,,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Peru,Americas,2024,PF,3,3,27,39,66,,,,,,,,,,38.5,65.5,78.7,72.0,4.1,2.9,3.5,,,,,,,,,,,,,,,,,,24.0,13.0,26.7,34.22,17.2,17.02,98.9,,
1057,Philippines,Asia,2015,PF,3,3,26,37,63,92.6,86.7,107.5,109.7,82.1,73.6,5696.0,14453.0,1624.0,27.2,48.5,74.2,61.4,3.2,3.0,3.1,,,,,,80.3,,33.5,46.3,61.2,58.9,55.8,52.1,306446.0,306446.0,2974.0,6.3,33.5,6.2,351.0,105.31,52.48,52.84,100.7,,36.9
891,Philippines,Asia,2018,PF,3,3,27,35,62,,,,,,,,,,,,,,,,,1.1,5.2,0.2,0.9,9.4,23.9,,,,,,,,,,,,,,,,,,,,
869,Philippines,Asia,2019,PF,3,3,26,35,61,,,,,,,,,,,,,,,,,1.1,4.3,0.1,0.8,7.7,,,,,,,,,,,,,,,,,,,,,
804,Philippines,Asia,2020,PF,3,4,25,34,59,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,358511.0,361751.0,3224.0,-9.5,,,,,,,,,53.8
633,Philippines,Asia,2021,PF,3,4,25,31,56,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,378999.0,394087.0,3461.0,5.7,,,,,,,,,63.4
461,Philippines,Asia,2022,PF,3,4,25,30,55,98.5,94.8,91.7,92.0,95.1,80.5,8750.0,12728.0,3825.0,27.7,,,,,,,,,,,,,,35.0,47.9,61.9,68.8,62.7,56.2,407690.0,404284.0,3499.0,7.6,29.3,8.2,379.9,113.96,57.12,56.85,99.5,300.0,72.3
292,Philippines,Asia,2023,PF,3,4,25,33,58,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Philippines,Asia,2024,PF,3,4,25,33,58,,,,,,,,,,27.3,47.3,73.2,60.3,2.5,2.0,2.2,,,,,,,,,,,,,,,,,,27.9,8.8,386.1,115.84,58.06,57.78,99.5,,
1127,Poland,Europe,2014,F,1,1,38,55,93,99.0,102.6,99.7,99.5,116.1,120.5,1150.0,2153.0,1492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,Poland,Europe,2015,F,1,1,38,55,93,98.5,101.8,,,115.8,119.8,1117.0,,1432.0,24.1,49.1,65.1,56.8,7.7,7.3,7.5,18.0,0.8,0.6,0.6,1.0,376.7,7.1,,91.7,,,96.3,,477111.0,477111.0,12375.0,4.4,15.1,22.3,125.0,38.27,19.71,18.55,94.1,,68.0
805,Poland,Europe,2020,F,2,2,35,49,84,,,,,,,,,,28.7,,,,,,,,,,,,,,,,,,,,559958.0,599443.0,15599.0,-2.0,,,,,,,,,83.2
634,Poland,Europe,2021,F,2,2,34,48,82,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,,,598792.0,681346.0,17786.0,6.9,,,,,,,,,85.4
462,Poland,Europe,2022,F,2,2,34,47,81,95.4,96.9,99.9,100.3,111.3,113.3,1603.0,1533.0,1622.0,28.3,,,,,,,12.9,0.7,,0.4,0.9,303.3,8.5,,88.9,,,97.9,,630290.0,688125.0,17265.0,5.3,15.3,25.6,125.4,38.39,19.78,18.6,94.0,313.0,86.9
293,Poland,Europe,2023,F,2,2,34,47,81,,,,,,,,,,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Poland,Europe,2024,F,2,2,33,47,80,,,,,,,,,,29.6,51.0,66.8,58.6,2.7,2.6,2.7,,,,,,,,,,,,,,,,,,14.8,26.3,125.9,38.54,19.87,18.67,94.0,,
1059,Portugal,Europe,2015,F,1,1,39,58,97,115.0,117.6,105.0,108.9,117.8,117.0,385.0,657.0,394.0,31.3,53.7,64.1,58.6,12.8,12.2,12.5,4.5,1.0,3.6,0.6,1.4,949.6,23.6,90.3,94.6,97.1,74.9,82.6,87.0,199314.0,199314.0,19229.0,1.8,14.3,26.9,112.7,10.37,5.45,4.92,90.4,,68.6
806,Portugal,Europe,2020,F,1,1,39,57,96,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,203823.0,229032.0,22240.0,-8.3,,,,,,,,,78.3
635,Portugal,Europe,2021,F,1,1,39,57,96,111.5,114.5,104.4,105.4,125.7,121.2,343.0,583.0,394.0,40.0,,,,,,,6.1,0.8,2.2,0.5,1.2,621.5,26.4,,,,,,,215517.0,255535.0,24833.0,5.7,,,,,,,,,82.3
463,Portugal,Europe,2022,F,1,1,39,56,95,,,,,,,,,,40.0,,,,,,,7.2,,2.4,,,714.3,29.4,91.2,95.2,97.1,86.3,92.8,95.9,230232.0,254850.0,24813.0,6.8,13.0,30.6,113.2,10.42,5.45,4.96,91.0,92.0,84.5
294,Portugal,Europe,2023,F,1,1,39,57,96,,,,,,,,,,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Portugal,Europe,2024,F,1,1,39,57,96,,,,,,,,,,36.5,54.9,63.5,58.9,7.0,6.0,6.5,,,,,,,,,,,,,,,,,,12.8,31.5,113.3,10.43,5.46,4.97,91.0,,
1060,Puerto Rico,Americas,2015,F,1,2,37,52,89,105.9,107.7,102.2,104.3,95.7,90.4,145.0,251.0,134.0,,31.9,49.2,40.0,9.6,13.7,12.0,84.6,17.6,,2.0,34.6,719.5,,,95.7,,,32.5,,103376.0,103376.0,29558.0,-1.0,16.4,24.4,405.2,3.52,1.84,1.68,91.0,,63.5
1061,Qatar,Middle East,2015,NF,6,5,10,18,28,100.2,100.3,102.2,101.7,106.2,102.1,52.0,130.0,44.0,0.0,56.3,95.6,87.4,0.9,0.1,0.2,,0.2,,0.2,0.3,,,,97.3,,,93.8,,161740.0,161740.0,66985.0,4.8,13.9,2.3,209.5,2.43,0.6,1.83,304.5,,92.9
807,Qatar,Middle East,2020,NF,6,5,7,18,25,104.2,104.9,102.0,102.2,109.6,113.0,65.0,164.0,58.0,9.8,,,,,,,,,,,,,,,,,,,,161417.0,144411.0,52316.0,-3.6,,,,,,,,,99.7
636,Qatar,Middle East,2021,NF,6,5,7,18,25,,,,,,,,,,9.8,,,,,,,0.4,0.3,0.3,0.5,0.3,,,,,,,,,164043.0,179732.0,66859.0,1.6,,,,,,,,,100.0
464,Qatar,Middle East,2022,NF,6,5,7,18,25,,,,,,,72.0,167.0,63.0,4.4,,,,,,,,0.1,,,,,,,96.7,,,99.9,,171752.0,237101.0,87974.0,4.7,15.2,2.9,249.7,2.89,0.81,2.08,255.2,12.0,100.0
295,Qatar,Middle East,2023,NF,6,5,7,18,25,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Qatar,Middle East,2024,NF,6,5,7,18,25,,,,,,,,,,4.4,64.3,96.7,88.9,0.4,0.1,0.1,,,,,,,,,,,,,,,,,,15.1,3.5,263.1,3.05,0.88,2.17,248.2,,
1062,Romania,Europe,2015,F,2,2,34,49,83,86.8,98.9,83.5,94.5,85.9,94.0,785.0,947.0,778.0,13.7,45.3,64.6,54.5,5.9,7.5,6.8,1.5,1.7,1.5,0.9,2.5,544.8,8.7,66.7,81.9,95.0,,71.4,,177884.0,177884.0,8936.0,3.2,15.7,23.9,86.4,19.87,10.27,9.6,93.6,,55.8
808,Romania,Europe,2020,F,2,2,35,48,83,,,,,,,,,,21.9,,,,,,,,,,,,,,,,,,,,209971.0,251362.0,12929.0,-3.7,,,,,,,,,78.5
637,Romania,Europe,2021,F,2,2,35,48,83,83.1,84.8,90.2,91.3,89.8,87.2,713.0,877.0,730.0,18.5,,,,,,,,,,,,,,,,,,,,221958.0,285810.0,14787.0,5.7,,,,,,,,,83.6
465,Romania,Europe,2022,F,2,2,35,48,83,,,,,,,,,,19.1,,,,,,,1.2,1.3,2.1,0.8,1.7,301.6,13.7,66.7,82.1,95.0,,87.6,,232157.0,300691.0,15295.0,4.6,16.0,25.4,83.3,19.17,9.88,9.28,93.9,238.0,85.5
296,Romania,Europe,2023,F,2,2,35,48,83,,,,,,,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Romania,Europe,2024,F,2,2,35,48,83,,,,,,,,,,19.2,42.7,61.9,51.9,5.0,5.9,5.5,,,,,,,,,,,,,,,,,,15.7,25.3,82.6,19.02,9.81,9.21,93.9,,
1145,Rwanda,Africa,2013,NF,6,6,8,16,24,,,,,,,,,,,,,,,,,29.7,3.2,0.2,,,,15.6,,,,,,,,,,,,,,,,,,,
1063,Rwanda,Africa,2015,NF,6,6,9,16,25,44.7,39.5,133.6,130.9,32.0,32.5,336.0,2451.0,231.0,63.8,54.6,67.3,60.6,12.6,11.2,11.9,,2.5,,,,,,,,44.6,50.2,,,8526.0,8526.0,732.0,8.9,41.1,4.8,480.8,11.64,6.0,5.64,94.2,,12.5
809,Rwanda,Africa,2020,NF,6,6,8,14,22,,,,,,,,,,61.3,,,,,,,,3.6,,,,,,,,,,,,10791.0,10185.0,775.0,-3.4,,,,,,,,,23.8
638,Rwanda,Africa,2021,NF,6,6,8,13,21,,,,,,,,,,61.3,,,,,,,,,,,,,,,,,,,,11964.0,11070.0,822.0,10.9,,,,,,,,,29.4
466,Rwanda,Africa,2022,NF,6,6,8,14,22,61.0,50.3,135.0,134.9,29.5,25.9,541.0,2743.0,260.0,61.3,,,,,,,,,,,,,,,,54.6,57.9,,,12934.0,13313.0,966.0,8.1,38.2,6.0,563.9,13.65,7.0,6.65,95.0,26.0,34.4
297,Rwanda,Africa,2023,NF,6,6,8,15,23,,,,,,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Rwanda,Africa,2024,NF,6,6,8,15,23,,,,,,,,,,61.3,55.1,66.4,60.5,16.3,13.5,14.8,,,,,,,,,,,,,,,,,,37.4,6.1,588.9,14.26,7.3,6.95,95.2,,
1146,Samoa,Asia,2013,F,2,2,32,49,81,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
1064,Samoa,Asia,2015,F,2,2,32,49,81,98.3,102.6,105.0,105.9,83.0,71.5,9.0,32.0,17.0,6.1,41.2,66.9,54.3,11.7,7.3,8.9,13.4,,,,,,,55.4,61.7,88.6,48.4,46.9,40.1,826.0,826.0,4055.0,6.1,38.1,7.4,71.3,0.2,0.1,0.1,103.5,,25.4
926,Samoa,Asia,2016,F,2,2,31,49,80,101.7,101.8,106.1,105.8,81.9,72.3,9.0,33.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Samoa,Asia,2018,F,2,2,30,50,80,,,,,,,,,,,,,,,,,6.3,6.2,,1.0,11.2,,,,,,,,,,,,,,,,,,,,,
810,Samoa,Asia,2020,F,2,2,30,51,81,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,817.0,829.0,3858.0,-10.1,,,,,,,,,70.0
639,Samoa,Asia,2021,F,2,2,30,51,81,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,798.0,857.0,3919.0,-2.3,,,,,,,,,76.3
467,Samoa,Asia,2022,F,2,2,32,51,83,99.5,98.3,103.9,104.3,,,10.0,35.0,,7.8,,,,,,,,,,,,,,56.2,62.2,90.2,44.3,42.9,36.7,798.0,857.0,3855.0,0.0,38.8,8.7,76.1,0.22,0.11,0.11,101.3,3.0,75.3
298,Samoa,Asia,2023,F,2,2,31,52,83,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Samoa,Asia,2024,F,2,2,32,52,84,,,,,,,,,,13.0,41.3,67.3,54.4,14.6,6.2,9.3,,,,,,,,,,,,,,,,,,38.5,9.2,77.0,0.22,0.11,0.11,101.4,,
1128,San Marino,Europe,2014,F,1,1,40,60,100,,,,,,,,,,,,,,9.5,4.3,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,San Marino,Europe,2015,F,1,1,40,60,100,96.0,95.9,95.9,92.6,94.0,95.8,1.0,2.0,2.0,16.7,,,,,,,,,,,,,,,100.0,,,90.2,,1419.0,1419.0,42265.0,-6.2,14.9,24.3,555.8,0.03,0.02,0.02,94.1,,
811,San Marino,Europe,2020,F,1,1,38,57,95,,,,,,,,,,31.7,,,,,,,,,,,,,,,,,,,,1406.0,1545.0,45423.0,-6.6,,,,,,,,,78.0
640,San Marino,Europe,2021,F,1,1,38,55,93,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,1525.0,1855.0,54983.0,8.5,,,,,,,,,81.7
468,San Marino,Europe,2022,F,1,1,38,55,93,95.0,96.2,99.1,96.6,36.1,44.6,1.0,2.0,1.0,33.3,,,,,,,,,,,,,,,100.0,,,90.2,,1601.0,1781.0,52903.0,5.0,13.0,28.2,558.9,0.03,0.02,0.02,96.1,0.0,85.1
299,San Marino,Europe,2023,F,1,1,39,58,97,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,San Marino,Europe,2024,F,1,1,39,58,97,,,,,,,,,,33.3,,,,,,,,,,,,,,,,,,,,,,,,12.3,30.5,550.5,0.03,0.02,0.02,96.7,,
1066,Sao Tome and Principe,Africa,2015,F,2,2,34,47,81,105.1,99.3,104.1,110.4,62.7,56.4,15.0,36.0,7.0,18.2,37.3,71.5,54.3,21.2,9.6,13.6,,,,,,,,22.3,33.5,38.3,24.2,28.0,29.7,318.0,318.0,1582.0,3.9,41.9,5.3,208.6,0.2,0.1,0.1,99.4,,25.8
910,Sao Tome and Principe,Africa,2017,F,2,2,34,47,81,111.0,104.4,106.7,112.5,76.7,64.4,16.0,37.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,Sao Tome and Principe,Africa,2020,F,2,2,35,49,84,,,,,,,,,,14.6,,,,,,,,,,,,,,,,,,,,373.0,476.0,2179.0,3.1,,,,,,,,,51.6
641,Sao Tome and Principe,Africa,2021,F,2,2,35,49,84,,,,,,,,,,23.6,,,,,,,,,,,,,,,,,,,,381.0,528.0,2368.0,1.9,,,,,,,,,56.1
469,Sao Tome and Principe,Africa,2022,F,2,2,35,49,84,,,,,,,,,,23.6,,,,,,,,,,,,,,23.8,36.3,40.3,31.5,34.0,34.8,381.0,547.0,2405.0,0.1,38.8,6.0,235.7,0.23,0.11,0.11,99.0,1.0,57.0
300,Sao Tome and Principe,Africa,2023,F,2,2,35,49,84,,,,,,,,,,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
